Public Food Key,Name,Description
F003313,"Crumpet, from white flour, toasted","Commercially prepared, batter-based product containing white, wheat flour, approximately 10 cm diameter and 1cm thick. Batter is leavened with yeast or with chemical agents and contains added salt and preservatives. Cooked on one side only and has an open honeycomb structure on the top surface. Contains added folic acid. Toasted until lightly brown."
F005896,"Muffin, English style, from white flour",A round yeasted dough made from white wheat flour (approximately 8.5 cm in diameter and 2 cm thick) that has been baked. Contains added folic acid and iodised salt.
F005898,"Muffin, English style, from white flour, toasted",A round yeasted dough made from white wheat flour (approximately 8.5 cm in diameter and 2 cm thick) that has been baked. Contains added folic acid and iodised salt. Cooked by toasting after purchase until lightly brown.
F005897,"Muffin, English style, from white flour, added dried fruit, toasted",A round yeasted dough made from white wheat flour with added dried fruit and spice (approximately 8 cm in diameter and 2 cm thick) that has been baked. Contains added folic acid and iodised salt. Cooked by toasting after purchase until lightly brown.
F001688,"Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca","Breakfast cereal beverage made from filtered water, breakfast cereal, skim milk powder, cane sugar, soy protein, sunflower oil, flavours (except chocolate) and added vitamins A, B1, B2, B3, B6, B12, C and folic acid and calcium."
F001708,"Breakfast cereal, flakes of corn, unfortified",Breakfast cereal made from flakes of corn with added salt and sugar. Does not contain added vitamins or minerals.
F001701,"Breakfast cereal, flakes of corn, added vitamins B1, B2, B3, C & folate, Fe & Zn","Breakfast cereal made from flakes of corn with added vitamins B1, B2, B3, C and folic acid, iron and zinc."
F001720,"Breakfast cereal, mixed grain (rice & wheat), flakes, added vitamins B1, B2, B3, B6 & folate, Ca, Fe & Zn","Breakfast cereal made from flakes of lightly toasted rice and wheat grains with sugar and salt added. Contains added vitamins B1, B2, B3, B6 and folic acid and calcium, iron and zinc."
F001733,"Breakfast cereal, mixed grain (wheat & oat), flakes, apricot & sultana, added vitamins B1, B2, B3 & folate & Fe","Breakfast cereal made from flakes of wheat, oats and triticale with dried sultanas, apricot, sugar and salt. Contains added vitamins B1, B2, B3 and folic acid and iron."
F001767,"Breakfast cereal, mixed grain (wheat, oat & corn), extruded, added vitamins B1, B2, B3, B6, C & folate, Ca & Fe","Breakfast cereal made from wheat, oatmeal and maize flour with added sugar and salt extruded into various shapes before packaging. Contains added vitamins B1, B2, B3, B6, C and folic acid and calcium and iron."
F001788,"Breakfast cereal, mixed grain (wheat, rice & oat), flakes, honey, unfortified","Breakfast cereal made from flakes of wheat, oats, rice and triticale with added honey, sugar and salt. Does not contain any added vitamins and minerals."
F001811,"Breakfast cereal, puffed or popped rice, no added sugar or salt, unfortified","Breakfast cereal made from toasted puffed or popped rice grains. Does not contain added salt, sugar, vitamins or minerals."
F001803,"Breakfast cereal, puffed or popped rice, added vitamins B1, B2, B3, C & folate, Fe & Zn","Breakfast cereal made from toasted puffed or popped rice grains with added salt and sugar. Contains added vitamins B1, B2, B3, C and folic acid and iron and zinc."
F001807,"Breakfast cereal, puffed or popped rice, cocoa coating, added vitamins B1, B2, B3, C & folate, Ca, Fe & Zn","Chocolate sweetened puffed rice cereal with added sugar and salt. Contains added vitamins B1, B2, B3, C and folic acid, and calcium, iron and zinc."
F001823,"Breakfast cereal, wheat bran, flakes, sultanas, added vitamins B1, B2, B3, B6 & folate, Fe & Zn","Breakfast cereal made from wheat bran flakes with added sultanas. Contains added vitamins B1, B2, B3, B6 and folic acid and iron and zinc."
F001829,"Breakfast cereal, wheat bran, pellets, added vitamins B1, B2 & folate","Breakfast cereal made from wheat bran and extruded into pellets. Contains added vitamins B1, B2 and folic acid."
F001849,"Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified","Breakfast cereal made from whole wheat and salt formed into a biscuit shape. Does not contain any added sugar, vitamins or minerals."
F001844,"Breakfast cereal, whole wheat, biscuit, added vitamins B1, B2, B3 & folate, Fe & Zn","Breakfast cereal prepared from whole wheat, with added sugar formed into a biscuit shape. Contains added vitamins B1, B2, B3 and folic acid and iron and zinc."
F001845,"Breakfast cereal, whole wheat, biscuit, bran, added vitamins B1, B2, B3 & folate & Fe","Breakfast cereal made from whole wheat, with added bran and sugar formed into a biscuit shape. Contains added vitamins B1, B2, B3 and folic acid and iron."
F001862,"Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added fibre, vitamins B1, B2, B3 & folate, Ca & Fe","Breakfast cereal made from whole wheat flakes with added wheat bran, dried fruit, nuts and salt. Contains added fibre, vitamins B1, B2, B3 and folic acid and calcium and iron."
F001871,"Breakfast cereal, whole wheat, puffed, no added sugar or salt, unfortified","Breakfast cereal made from puffed whole wheat. Does not contain any added sugar, salt or vitamins or minerals."
F005856,"Muesli, toasted, added dried fruit & nuts, unfortified","Breakfast cereal made from rolled oats, dried fruit and other ingredients such as nuts, coconut and seeds, and then toasted with the addition of vegetable oil. Does not contain added vitamins or minerals."
F005857,"Muesli, untoasted or natural style, added dried fruit, unfortified","Breakfast cereal made from rolled oats, dried fruit (including sultanas, currants, apricot, pawpaw, banana, apple and pineapple) and other ingredients including wheat bran, wheat germ, sugar, and/or seeds. Includes mueslis with a small amount of added nuts (less than 3%) including almond, coconut, walnut, hazelnut and pecans. Does not contain added vitamins or minerals."
F001374,"Bread, banana","Sweet, moist cake-like bread made using mashed bananas and other common ingredients such as wheat flour, shortening, sugar and egg."
F008273,"Slice, brownie, chocolate, without nuts, commercial",Commercially prepared densely textured chocolate slice.
F008272,"Slice, brownie, chocolate, with nuts, homemade",Home prepared densely textured chocolate slice containing chopped nuts.
F002021,"Cake mix, plain, dry powder","Commercially prepared dry plain cake mix. Typical ingredients include wheat flour, maize starch, sugar, salt, dairy products, vegetable oils, flavours, colours and baking agents. Includes cake mixes labelled as madeira, tea cake or vanilla cake."
F002100,"Cake, carrot, commercial, iced",Commercially prepared carrot cake with icing generally made with cream or neufchatel cheese.
F002102,"Cake, carrot, homemade, uniced","Home prepared carrot cake made from common household ingredients such as flour, milk, butter, sugar, eggs, carrot, sultanas, nuts and spices."
F002101,"Cake, carrot, homemade, iced","Home prepared carrot cake made from common household ingredients such as flour, milk, butter, sugar, eggs, carrot, sultanas, nuts and spices, with icing."
F002112,"Cake, chocolate, homemade, uniced","Home prepared chocolate cake made from common household ingredients such as flour, butter, sugar, egg, milk and cocoa."
F002111,"Cake, chocolate, homemade, iced","Home prepared chocolate cake made from common household ingredients such as flour, butter, sugar, egg, milk and cocoa, with icing."
F002150,"Cake, fruit, homemade, uniced","Home prepared fruit cake made from common household ingredients such as boiled dried vine fruit, flour, sugar, butter, eggs and citrus peel."
F002159,"Cake, lamington, unfilled","Commercially prepared individual sponge cube, coated in chocolate icing and coconut."
F002163,"Cake, mud, dark chocolate, commercial, chocolate ganache icing","Commercially prepared rich chocolate cake, with chocolate icing. Includes cakes commonly described as dark chocolate mud cakes."
F002165,"Cake, mud, dark chocolate, homemade, uniced","Home prepared heavy textured chocolate cake made from common household ingredients such as flour, sugar, eggs, butter and dark chocolate."
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing","Home prepared heavy textured chocolate cake made from common household ingredients such as flour, sugar, eggs, butter and dark chocolate, with a rich chocolate ganache icing."
